診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1062,305，856点
初診,自費,初診料,288点,2,576点
初診,保険,外来感染対策向上加算（初診）,6点,1059,6，354点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,184,9，200点
再診,保険,二類感染症患者入院診療加算（電話等再診料・診療報酬上臨時的取扱）,250点,3,750点
再診,保険,再診料,73点,1569,114，537点
再診,保険,外来感染対策向上加算（再診）,6点,1136,6，816点
再診,保険,外来管理加算,52点,798,41，496点
再診,保険,夜間・早朝等加算（再診）,50点,259,12，950点
再診,保険,明細書発行体制等加算,1点,1572,1，572点
再診,保険,時間外加算（再診）（入院外）,65点,2,130点
再診,保険,電話等再診料,73点,3,219点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,98,2，450点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,86,5，590点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,45,3，825点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,596,3，576点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,3,18点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,162,12，960点
医学管理,自費,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,1,80点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,673,273，238点
医学管理,自費,小児科外来診療料（処方箋を交付）再診時,406点,2,812点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,294,176，106点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,599点,1,599点
医学管理,保険,特定疾患療養管理料（診療所）,225点,2,450点
医学管理,保険,診療情報提供料（１）,250点,23,5，750点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,644,193，200点
医学管理,自費,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,2,600点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,15,6，300点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,22,5，500点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,23,2，300点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,23,23，000点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,1133,10，197点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,549,3，843点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2248,152，864点
投薬,自費,処方箋料（リフィル以外・その他）,68点,2,136点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,5,90点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,1,66点
注射,保険,点滴注射（その他）（入院外）,50点,16,800点
注射,保険,皮内、皮下及び筋肉内注射,22点,5,110点
注射,保険,静脈内注射,34点,4,136点
処置,保険,副鼻腔洗浄（その他）（片）,25点,122,3，050点
処置,保険,副鼻腔自然口開大処置,25点,1267,31，675点
処置,保険,創傷処置（１００ｃｍ２未満）,52点,2,104点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,扁桃処置,40点,2,80点
処置,保険,耳処置,27点,295,7，965点
処置,自費,耳処置,27点,2,54点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,63,11，340点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,21,2，100点
処置,保険,耳管処置１（片）,36点,7,252点
処置,保険,血腫穿刺,80点,3,240点
処置,保険,超音波ネブライザ,24点,928,22，272点
処置,保険,鼓室処置（片）,55点,17,935点
処置,保険,鼻処置,16点,1336,21，376点
処置,保険,鼻出血止血法,240点,5,1，200点
手術,保険,イオントフォレーゼ加算,45点,13,585点
手術,保険,咽頭異物摘出術（簡単）,500点,1,500点
手術,保険,外耳道異物除去術（単純）,260点,9,2，340点
