診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1529,440，352点
初診,自費,初診料,288点,1,288点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,4点,1359,5，436点
初診,自費,医療情報・システム基盤整備体制充実加算１（初診）,4点,1,4点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,106,212点
初診,保険,外来感染対策向上加算（初診）,6点,1524,9，144点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,346,17，300点
再診,保険,乳幼児加算（再診）,38点,1,38点
再診,保険,再診料,73点,1662,121，326点
再診,自費,再診料,73点,1,73点
再診,保険,同日再診料,73点,2,146点
再診,保険,外来感染対策向上加算（再診）,6点,1154,6，924点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,728,37，856点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,291,14，550点
再診,自費,夜間・早朝等加算（再診）,50点,1,50点
再診,保険,明細書発行体制等加算,1点,1664,1，664点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,138,3，450点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,79,5，135点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,43,3，655点
医学管理,保険,乳幼児時間外加算（再診）（小児科外来診療料）,65点,2,130点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,4点,263,1，052点
医学管理,保険,医療情報・システム基盤整備体制充実加算２（医学管理等）,2点,18,36点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,646,3，876点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,111,8，880点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,757,307，342点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,319,191，081点
医学管理,保険,診療情報提供料（１）,250点,41,10，250点
医学管理,保険,難病外来指導管理料,270点,5,1，350点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,9,3，780点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,41,10，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,44,4，400点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,44,44，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
投薬,保険,一般名処方加算１（処方箋料）,7点,1225,8，575点
投薬,自費,一般名処方加算１（処方箋料）,7点,1,7点
投薬,保険,一般名処方加算２（処方箋料）,5点,617,3，085点
投薬,自費,一般名処方加算２（処方箋料）,5点,1,5点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2490,169，320点
投薬,自費,処方箋料（リフィル以外・その他）,68点,3,204点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,4,72点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,2,132点
注射,保険,皮内、皮下及び筋肉内注射,22点,3,66点
処置,保険,副鼻腔洗浄（その他）（片）,25点,116,2，900点
処置,保険,副鼻腔自然口開大処置,25点,1581,39，525点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,口腔、咽頭処置,16点,2,32点
処置,保険,耳処置,27点,327,8，829点
処置,自費,耳処置,27点,1,27点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,192,34，560点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,54,5，400点
処置,保険,耳管処置１（片）,36点,8,288点
処置,保険,耳鼻咽喉科乳幼児処置加算,60点,1,60点
処置,保険,超音波ネブライザ,24点,1209,29，016点
処置,自費,超音波ネブライザ,24点,1,24点
処置,保険,鼓室処置（片）,55点,17,935点
処置,保険,鼻処置,16点,1641,26，256点
処置,自費,鼻処置,16点,1,16点
処置,保険,鼻出血止血法,240点,2,480点
手術,保険,イオントフォレーゼ加算,45点,13,585点
手術,保険,咽頭異物摘出術（簡単）,500点,1,500点
手術,保険,外耳道異物除去術（単純）,260点,3,780点
手術,保険,鼓膜切開術,830点,11,9，130点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,2,5，340点
手術,保険,鼻腔粘膜焼灼術,1，080点,8,8，640点
