診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1550,1，550点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1552,451，632点
初診,自費,初診料,291点,1,291点
初診,保険,医療情報取得加算（初診）,1点,1550,1，550点
初診,自費,医療情報取得加算（初診）,1点,1,1点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1551,18，612点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,1,12点
初診,保険,外来感染対策向上加算（初診）,6点,1550,9，300点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,219,10，950点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1550,7，750点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,1,85点
初診,保険,発熱患者等対応加算（初診）,20点,865,17，300点
初診,保険,連携強化加算（初診）,3点,1550,4，650点
初診,自費,連携強化加算（初診）,3点,1,3点
再診,保険,サーベイランス強化加算（再診）,1点,978,978点
再診,保険,再診料,75点,1468,110，100点
再診,保険,医療情報取得加算（再診）,1点,494,494点
再診,保険,同日再診料,75点,2,150点
再診,保険,外来感染対策向上加算（再診）,6点,978,5，868点
再診,保険,外来管理加算,52点,706,36，712点
再診,保険,夜間・早朝等加算（再診）,50点,144,7，200点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,978,4，890点
再診,保険,明細書発行体制等加算,1点,1470,1，470点
再診,保険,発熱患者等対応加算（再診）,20点,184,3，680点
再診,保険,連携強化加算（再診）,3点,978,2，934点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,190,4，750点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,473,473点
医学管理,自費,サーベイランス強化加算（医学管理等）,1点,6,6点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,24,1，560点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,35,2，975点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,73,73点
医学管理,自費,医療情報取得加算（再診）（医学管理等）,1点,4,4点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,353,353点
医学管理,自費,医療情報取得加算（初診）（医学管理等）,1点,2,2点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,353,4，236点
医学管理,自費,医療ＤＸ推進体制整備加算１（医学管理等）,12点,2,24点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,473,2，838点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,6,36点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,197,15，760点
医学管理,自費,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,2,160点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,340,139，400点
医学管理,自費,小児科外来診療料（処方箋を交付）再診時,410点,4,1，640点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,355,214，420点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,604点,2,1，208点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,473,2，365点
