診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,814,234，432点
初診,保険,夜間・早朝等加算（初診）,50点,70,3，500点
初診,保険,時間外加算（初診）,85点,5,425点
再診,保険,再診料,73点,552,40，296点
再診,保険,外来管理加算,52点,270,14，040点
再診,保険,夜間・早朝等加算（再診）,50点,39,1，950点
再診,保険,明細書発行体制等加算,1点,552,552点
再診,保険,時間外加算（再診）（入院外）,65点,2,130点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,9,585点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,8,680点
医学管理,保険,乳幼児感染予防策加算（小児科外来診療料等・診療報酬上臨時的取扱）,50点,282,14，100点
医学管理,保険,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,322,80，500点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,81,6，480点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,115,46，690点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,167,100，033点
医学管理,保険,特定疾患療養管理料（診療所）,225点,3,675点
医学管理,保険,診療情報提供料（１）,250点,17,4，250点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,332,99，600点
医学管理,保険,難病外来指導管理料,270点,1,270点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,5,2，100点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,5,1，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,6,600点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,6,6，000点
投薬,保険,一般名処方加算１（処方箋料）,7点,469,3，283点
投薬,保険,一般名処方加算２（処方箋料）,5点,253,1，265点
投薬,保険,処方箋料（その他）,68点,1078,73，304点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,7,126点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,8,528点
注射,保険,点滴注射（その他）（入院外）,49点,2,98点
注射,保険,皮内、皮下及び筋肉内注射,20点,2,40点
処置,保険,副鼻腔洗浄（その他）（片）,25点,6,150点
処置,保険,副鼻腔自然口開大処置,25点,599,14，975点
処置,保険,口腔、咽頭処置,14点,5,70点
処置,保険,扁桃処置,40点,1,40点
処置,保険,耳処置,25点,172,4，300点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,9,1，620点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,14,1，400点
処置,保険,耳管処置１（片）,36点,7,252点
処置,保険,超音波ネブライザー,24点,219,5，256点
