診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,乳幼児加算（初診）,75点,1,75点
初診,保険,初診料,288点,1409,405，792点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,4点,1245,4，980点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,74,148点
初診,保険,外来感染対策向上加算（初診）,6点,1407,8，442点
初診,保険,夜間・早朝等加算（初診）,50点,269,13，450点
初診,保険,時間外加算（初診）,85点,1,85点
再診,保険,乳幼児加算（再診）,38点,4,152点
再診,保険,再診料,73点,2013,146，949点
再診,自費,再診料,73点,1,73点
再診,保険,同日再診料,73点,3,219点
再診,保険,外来感染対策向上加算（再診）,6点,1446,8，676点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,1110,57，720点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,324,16，200点
再診,保険,明細書発行体制等加算,1点,2016,2，016点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,134,3，350点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,85,5，525点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,60,5，100点
医学管理,自費,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,傷病手当金意見書交付料,100点,4,400点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,4点,304,1，216点
医学管理,保険,医療情報・システム基盤整備体制充実加算２（医学管理等）,2点,5,10点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,683,4，098点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,2,12点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,126,10，080点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,740,300，440点
医学管理,自費,小児科外来診療料（処方箋を交付）再診時,406点,1,406点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,347,207，853点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,599点,1,599点
医学管理,保険,診療情報提供料（１）,250点,47,11，750点
医学管理,保険,難病外来指導管理料,270点,4,1，080点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,6,2，520点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,39,9，750点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,42,4，200点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,42,42，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）,7点,1461,10，227点
投薬,保険,一般名処方加算２（処方箋料）,5点,823,4，115点
投薬,自費,一般名処方加算２（処方箋料）,5点,1,5点
投薬,保険,乳幼児加算（処方箋料）,3点,2,6点
投薬,保険,処方箋料（リフィル以外・その他）,68点,3006,204，408点
投薬,自費,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,3,54点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,1,66点
注射,保険,点滴注射（その他）（入院外）,50点,6,300点
注射,保険,皮内、皮下及び筋肉内注射,22点,3,66点
処置,保険,副鼻腔洗浄（その他）（片）,25点,108,2，700点
処置,保険,副鼻腔自然口開大処置,25点,1684,42，100点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,扁桃処置,40点,1,40点
処置,保険,耳処置,27点,259,6，993点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,80,14，400点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,33,3，300点
処置,保険,耳管処置１（片）,36点,12,432点
処置,保険,耳鼻咽喉科乳幼児処置加算,60点,5,300点
処置,保険,超音波ネブライザ,24点,1121,26，904点
処置,保険,鼓室処置（片）,55点,9,495点
処置,保険,鼻処置,16点,1670,26，720点
処置,保険,鼻出血止血法,240点,4,960点
手術,保険,イオントフォレーゼ加算,45点,5,225点
手術,保険,外耳道異物除去術（単純）,260点,2,520点
手術,保険,鼓膜切開術,830点,5,4，150点
手術,保険,鼻腔粘膜焼灼術,1，080点,7,7，560点
検査,保険,チンパノメトリー,340点,48,16，320点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,9,1，800点
検査,保険,ビタミンＢ１２,140点,1,140点
検査,保険,免疫学的検査判断料,144点,149,21，456点
検査,保険,平衡機能検査（標準検査）,20点,76,1，520点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,48,14，400点
検査,保険,平衡機能検査（重心動揺計）,250点,9,2，250点
検査,保険,微生物学的検査判断料,150点,13,1，950点
検査,保険,検査逓減,-10％,40,-2，350点
検査,保険,標準純音聴力検査,350点,188,65，800点
検査,保険,特異的ＩｇＥ半定量・定量,110点,1288,47，190点
検査,保険,生化学的検査（１）判断料,144点,1,144点
検査,保険,簡易聴力検査（気導純音聴力）,110点,83,9，130点
検査,保険,細菌培養同定検査（その他）,170点,13,2，210点
検査,保険,細菌薬剤感受性検査（１菌種）,180点,11,1，980点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,8,5，760点
検査,保険,耳鳴検査,400点,2,800点
検査,保険,脳波検査判断料２,180点,8,1，440点
検査,保険,超音波検査（断層撮影法）（その他）,350点,20,7，000点
検査,保険,静脈性嗅覚検査,45点,2,90点
検査,保険,非特異的ＩｇＥ定量,100点,33,3，300点
検査,保険,鼻腔・咽頭拭い液採取,25点,96,2，400点
検査,保険,Ａ群β溶連菌迅速試験定性,124点,1,124点
検査,保険,Ｂ－Ｖ,37点,34,1，258点
検査,保険,Ｃｕ,23点,1,23点
検査,保険,ＥＦ－喉頭,600点,84,50，400点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,309,185，400点
検査,保険,Ｆｅ,11点,1,11点
検査,保険,Ｓ－Ｍ,64点,13,832点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出（定性）,420点,116,48，720点
検査,保険,Ｚｎ,136点,1,136点
画像,保険,コンピューター断層診断,450点,27,12，150点
画像,保険,電子画像管理加算（コンピューター断層診断料）,120点,27,3，240点
画像,保険,ＣＴ撮影（イ、ロ又はハ以外）,560点,27,15，120点
保険外費用,自費,会計0円,0円,2,0円
保険外費用,自費,医療補助金請求書,500円,2,1，000円
保険外費用,自費,肺炎球菌ワクチン,2，000円,1,2，000円
保険外費用,自費,血液型,2，500円,1,2，500円
保険外費用,自費,補装具費支給意見書,3，000円,1,3，000円
保険外費用,保険,診察券代100円,100円,11,1，100円
保険外費用,保険,診断書（普通）1000円,1，000円,6,6，000円
合計,合　計,点数合計,,,2，155，616点
,,金額合計,,,15，600円
