診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,2447,2，447点
初診,自費,サーベイランス強化加算（初診）,1点,2,2点
初診,保険,初診料,291点,2448,712，368点
初診,自費,初診料,291点,2,582点
初診,保険,医療情報取得加算（初診）,1点,2447,2，447点
初診,自費,医療情報取得加算（初診）,1点,2,2点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,2447,29，364点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,2,24点
初診,保険,外来感染対策向上加算（初診）,6点,2447,14，682点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,355,17，750点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,2447,12，235点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,2,10点
初診,保険,発熱患者等対応加算（初診）,20点,628,12，560点
初診,自費,発熱患者等対応加算（初診）,20点,1,20点
初診,保険,連携強化加算（初診）,3点,2447,7，341点
初診,自費,連携強化加算（初診）,3点,2,6点
再診,保険,サーベイランス強化加算（再診）,1点,1654,1，654点
再診,自費,サーベイランス強化加算（再診）,1点,1,1点
再診,保険,再診料,75点,2312,173，400点
再診,自費,再診料,75点,1,75点
再診,保険,医療情報取得加算（再診）,1点,1057,1，057点
再診,自費,医療情報取得加算（再診）,1点,1,1点
再診,保険,同日再診料,75点,3,225点
再診,保険,外来感染対策向上加算（再診）,6点,1654,9，924点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,1545,80，340点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,225,11，250点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1654,8，270点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,1,5点
再診,保険,明細書発行体制等加算,1点,2315,2，315点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,発熱患者等対応加算（再診）,20点,188,3，760点
再診,保険,連携強化加算（再診）,3点,1654,4，962点
再診,自費,連携強化加算（再診）,3点,1,3点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,3,840点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,193,4，825点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,586,586点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,37,2，405点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,38,3，230点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,130,130点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,378,378点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,380,4，560点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,586,3，516点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,191,15，280点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,460,188，600点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,381,230，124点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,586,2，930点
医学管理,保険,特定疾患療養管理料（診療所）,225点,3,675点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,335,6，700点
医学管理,保険,診療情報提供料（１）,250点,33,8，250点
医学管理,保険,連携強化加算（医学管理等）,3点,586,1，758点
医学管理,保険,難病外来指導管理料,270点,4,1，080点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,7,2，940点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,81,20，250点
在宅,自費,在宅持続陽圧呼吸療法指導管理料２,250点,1,250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,82,8，200点
在宅,自費,在宅持続陽圧呼吸療法材料加算,100点,2,200点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,82,78，720点
在宅,自費,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,2,1，920点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
投薬,保険,一般名処方加算１（処方箋料）,10点,2360,23，600点
投薬,自費,一般名処方加算１（処方箋料）,10点,2,20点
投薬,保険,一般名処方加算２（処方箋料）,8点,1167,9，336点
投薬,自費,一般名処方加算２（処方箋料）,8点,1,8点
投薬,保険,処方箋料（リフィル以外・その他）,60点,4320,259，200点
投薬,自費,処方箋料（リフィル以外・その他）,60点,5,300点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,3,168点
注射,保険,点滴注射（その他）（入院外）,53点,9,477点
注射,保険,皮内、皮下及び筋肉内注射,25点,16,400点
処置,保険,副鼻腔手術後の処置（片）,45点,1,45点
処置,保険,副鼻腔洗浄（その他）（片）,25点,80,2，000点
処置,保険,副鼻腔自然口開大処置,25点,2586,64，650点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,扁桃処置,40点,1,40点
処置,保険,扁桃周囲膿瘍穿刺,180点,1,180点
処置,保険,耳処置,27点,268,7，236点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,71,11，360点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,24,2，160点
処置,保険,耳管処置１（片）,36点,10,360点
処置,保険,血腫穿刺,80点,4,320点
処置,保険,超音波ネブライザ,24点,1063,25，512点
処置,自費,超音波ネブライザ,24点,1,24点
処置,保険,鼓室処置（片）,62点,1,62点
処置,保険,鼻処置,16点,2644,42，304点
処置,自費,鼻処置,16点,1,16点
処置,保険,鼻出血止血法,240点,1,240点
手術,保険,イオントフォレーゼ加算,45点,5,225点
手術,保険,咽頭異物摘出術（簡単）,500点,3,1，500点
手術,保険,咽頭異物摘出術（複雑）,2，100点,2,4，200点
手術,保険,外耳道異物除去術（単純）,260点,4,1，040点
手術,保険,鼓膜切開術,830点,5,4，150点
手術,保険,鼻腔粘膜焼灼術,1，080点,12,12，960点
検査,保険,γ－ＧＴ,11点,2,22点
検査,保険,カリウム,11点,2,22点
検査,保険,クレアチニン,11点,2,22点
検査,保険,グルコース,11点,2,22点
検査,保険,グロブリンクラス別ウイルス抗体価（ＥＢ）,200点,1,200点
検査,保険,チンパノメトリー,340点,27,9，180点
検査,保険,ナトリウム及びクロール,11点,2,22点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,4,800点
検査,保険,ビタミンＢ１２,136点,1,136点
検査,保険,免疫学的検査判断料,144点,215,30，960点
検査,保険,平衡機能検査（標準検査）,20点,74,1，480点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,50,15，000点
検査,保険,平衡機能検査（重心動揺計）,250点,4,1，000点
検査,保険,微生物学的検査判断料,150点,19,2，850点
検査,保険,末梢血液一般検査,21点,3,63点
検査,保険,末梢血液像（自動機械法）,15点,2,30点
検査,保険,検査逓減,-10％,37,-2，220点
検査,保険,標準純音聴力検査,350点,172,60，200点
検査,保険,特異的ＩｇＥ半定量・定量,110点,5075,166，430点
検査,保険,生化学的検査（１）判断料,144点,3,432点
検査,保険,生化学的検査（２）判断料,144点,1,144点
検査,保険,簡易聴力検査（気導純音聴力）,110点,24,2，640点
検査,保険,細菌培養同定検査（その他）,180点,19,3，420点
検査,保険,細菌培養同定検査（口腔）,180点,1,180点
検査,保険,細菌薬剤感受性検査（１菌種）,185点,15,2，775点
検査,保険,細菌薬剤感受性検査（２菌種）,240点,2,480点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,6,4，320点
検査,保険,脳波検査判断料２,180点,6,1，080点
検査,保険,血液学的検査判断料,125点,3,375点
検査,保険,超音波検査（断層撮影法）（その他）,350点,13,4，550点
検査,保険,非特異的ＩｇＥ定量,100点,117,11，700点
検査,保険,鼻腔・咽頭拭い液採取,25点,102,2，550点
検査,保険,Ａ群β溶連菌迅速試験定性,121点,5,605点
検査,保険,ＡＬＰ,11点,2,22点
検査,保険,ＡＬＴ,17点,2,34点
検査,保険,ＡＳＴ,17点,2,34点
検査,保険,Ａｌｂ（ＢＣＰ改良法・ＢＣＧ法）,11点,2,22点
検査,保険,Ａｍｙ,11点,2,22点
検査,保険,Ｂ－Ｖ,40点,120,4，800点
検査,保険,ＢＩＬ／総,11点,2,22点
検査,保険,ＢＵＮ,11点,2,22点
検査,保険,ＣＲＰ,16点,2,32点
検査,保険,ＣｈＥ,11点,2,22点
検査,保険,Ｃｕ,23点,1,23点
検査,保険,ＥＦ－中耳,240点,2,480点
検査,保険,ＥＦ－喉頭,600点,64,38，400点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,396,237，600点
検査,保険,ＦＴ３,121点,1,121点
検査,保険,ＦＴ４,121点,1,121点
検査,保険,Ｆｅ,11点,1,11点
検査,保険,ＬＤ,11点,2,22点
検査,保険,Ｓ－Ｍ,67点,19,1，273点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出定性,225点,98,22，050点
検査,保険,ＴＰ,11点,2,22点
検査,保険,ＴＲＡｂ,214点,1,214点
検査,保険,ＴＳＨ,98点,1,98点
検査,保険,ＵＡ,11点,2,22点
検査,保険,Ｚｎ,132点,1,132点
画像,保険,コンピューター断層診断,450点,23,10，350点
画像,保険,電子画像管理加算（コンピューター断層診断料）,120点,23,2，760点
画像,保険,ＣＴ撮影（イ、ロ又はハ以外）,560点,23,12，880点
病理診断・その他,保険,外来・在宅ベースアップ評価料（１）１（初診時）,6点,2829,16，974点
病理診断・その他,自費,外来・在宅ベースアップ評価料（１）１（初診時）,6点,2,12点
病理診断・その他,保険,外来・在宅ベースアップ評価料（１）２（再診時等）,2点,2772,5，544点
病理診断・その他,自費,外来・在宅ベースアップ評価料（１）２（再診時等）,2点,1,2点
保険外費用,自費,医療補助金請求書,500円,3,1，500円
保険外費用,自費,帯状疱疹ワクチン,6，500円,3,19，500円
保険外費用,自費,血液型,2，500円,1,2，500円
保険外費用,自費,補装具費支給意見書,3，000円,1,3，000円
保険外費用,保険,診察券代100円,100円,35,3，500円
保険外費用,保険,診断書（普通）1000円,1，000円,6,6，000円
保険外費用,自費,難聴高齢者補聴器意見書,3，000円,2,6，000円
合計,合　計,点数合計,,,2，848，731点
,,金額合計,,,42，000円
