診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1214,349，632点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,4点,1080,4，320点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,37,74点
初診,保険,外来感染対策向上加算（初診）,6点,1214,7，284点
初診,保険,夜間・早朝等加算（初診）,50点,189,9，450点
再診,保険,再診料,73点,1239,90，447点
再診,保険,外来感染対策向上加算（再診）,6点,832,4，992点
再診,保険,外来管理加算,52点,549,28，548点
再診,保険,夜間・早朝等加算（再診）,50点,140,7，000点
再診,保険,明細書発行体制等加算,1点,1239,1，239点
再診,保険,時間外加算（再診）（入院外）,65点,3,195点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,3,840点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,142,3，550点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,35,2，275点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,36,3，060点
医学管理,保険,乳幼児時間外加算（再診）（小児科外来診療料）,65点,1,65点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,4点,196,784点
医学管理,保険,医療情報・システム基盤整備体制充実加算２（医学管理等）,2点,1,2点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,462,2，772点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,89,7，120点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,446,181，076点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,238,142，562点
医学管理,保険,特定疾患療養管理料（１００床未満の病院）（特例）（１０月以降）,147点,502,73，794点
医学管理,保険,診療情報提供料（１）,250点,25,6，250点
医学管理,保険,難病外来指導管理料,270点,4,1，080点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,1,420点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,39,9，750点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,39,3，900点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,39,39，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）,7点,1126,7，882点
投薬,保険,一般名処方加算２（処方箋料）,5点,442,2，210点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2104,143，072点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,4,72点
注射,保険,点滴注射（その他）（入院外）,50点,10,500点
注射,保険,皮内、皮下及び筋肉内注射,22点,4,88点
処置,保険,副鼻腔洗浄（その他）（片）,25点,102,2，550点
処置,保険,副鼻腔自然口開大処置,25点,1313,32，825点
処置,保険,扁桃処置,40点,1,40点
処置,保険,耳処置,27点,290,7，830点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,30,5，400点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,23,2，300点
処置,保険,耳管処置１（片）,36点,8,288点
処置,保険,血腫穿刺,80点,1,80点
処置,保険,超音波ネブライザ,24点,1001,24，024点
処置,保険,鼓室処置（片）,55点,13,715点
処置,保険,鼻処置,16点,1312,20，992点
手術,保険,イオントフォレーゼ加算,45点,3,135点
手術,保険,下甲介粘膜レーザー焼灼術（両側）,2，910点,5,14，550点
手術,保険,咽頭異物摘出術（簡単）,500点,1,500点
手術,保険,鼓膜切開術,830点,2,1，660点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,1,2，670点
手術,保険,鼻腔粘膜焼灼術,1，080点,10,10，800点
検査,保険,γ－ＧＴ,11点,2,22点
検査,保険,アデノウイルス抗原定性（糞便を除く。）,184点,1,184点
検査,保険,カリウム,11点,2,22点
検査,保険,クレアチニン,11点,2,22点
検査,保険,グルコース,11点,1,11点
検査,保険,チンパノメトリー,340点,36,12，240点
検査,保険,ナトリウム及びクロール,11点,2,22点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,4,800点
検査,保険,免疫学的検査判断料,144点,194,27，936点
検査,保険,平衡機能検査（標準検査）,20点,70,1，400点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,46,13，800点
検査,保険,平衡機能検査（重心動揺計）,250点,4,1，000点
検査,保険,微生物学的検査判断料,150点,11,1，650点
検査,保険,抗ＳＳ－Ａ／Ｒｏ抗体定量,161点,1,161点
検査,保険,抗ＳＳ－Ｂ／Ｌａ抗体定量,158点,1,158点
検査,保険,末梢血液一般検査,21点,2,42点
検査,保険,末梢血液像（自動機械法）,15点,2,30点
検査,保険,検査逓減,-10％,15,-900点
検査,保険,標準純音聴力検査,350点,165,57，750点
検査,保険,特異的ＩｇＥ半定量・定量,110点,671,25，190点
検査,保険,生化学的検査（１）判断料,144点,2,288点
検査,保険,簡易聴力検査（気導純音聴力）,110点,73,8，030点
検査,保険,細菌培養同定検査（その他）,170点,11,1，870点
検査,保険,細菌薬剤感受性検査（１菌種）,180点,7,1，260点
検査,保険,細菌薬剤感受性検査（２菌種）,230点,3,690点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,9,6，480点
検査,保険,脳波検査判断料２,180点,9,1，620点
検査,保険,血液学的検査判断料,125点,2,250点
検査,保険,超音波検査（断層撮影法）（その他）,350点,10,3，500点
検査,保険,静脈性嗅覚検査,45点,3,135点
検査,保険,非特異的ＩｇＥ定量,100点,17,1，700点
検査,保険,鼻腔・咽頭拭い液採取,25点,165,4，125点
検査,保険,Ａ群β溶連菌迅速試験定性,124点,8,992点
検査,保険,ＡＬＰ,11点,1,11点
検査,保険,ＡＬＴ,17点,2,34点
検査,保険,ＡＳＴ,17点,2,34点
検査,保険,Ａｌｂ（ＢＣＰ改良法・ＢＣＧ法）,11点,1,11点
検査,保険,Ａｍｙ,11点,2,22点
検査,保険,Ｂ－Ｃ,6点,1,6点
検査,保険,Ｂ－Ｖ,37点,19,703点
検査,保険,ＢＩＬ／総,11点,1,11点
検査,保険,ＢＵＮ,11点,2,22点
検査,保険,ＣＨ５０,38点,1,38点
検査,保険,ＣＲＰ,16点,2,32点
検査,保険,ＣｈＥ,11点,1,11点
検査,保険,ＥＦ－喉頭,600点,56,33，600点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,214,128，400点
検査,保険,ＬＤ,11点,1,11点
検査,保険,ＲＦ定量,30点,1,30点
検査,保険,Ｓ－Ｍ,64点,11,704点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出（定性）,420点,173,72，660点
検査,保険,ＴＰ,11点,2,22点
検査,保険,ＵＡ,11点,1,11点
画像,保険,コンピューター断層診断,450点,31,13，950点
画像,保険,電子画像管理加算（コンピューター断層診断料）,120点,31,3，720点
画像,保険,ＣＴ撮影（イ、ロ又はハ以外）,560点,31,17，360点
保険外費用,自費,インフル￥3500,3，500円,1,3，500円
保険外費用,自費,帯状疱疹ワクチン,22，000円,1,22，000円
保険外費用,自費,様式第8号,1，000円,1,1，000円
保険外費用,保険,診察券代100円,100円,13,1，300円
保険外費用,保険,診断書（普通）1000円,1，000円,10,10，000円
保険外費用,自費,身体障害者診断書・意見書3000円,3，000円,1,3，000円
合計,合　計,点数合計,,,1，707，282点
,,金額合計,,,40，800円
