診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1191,1，191点
初診,自費,サーベイランス強化加算（初診）,1点,3,3点
初診,保険,初診料,291点,1194,347，454点
初診,自費,初診料,291点,3,873点
初診,保険,医療情報取得加算（初診）,1点,1191,1，191点
初診,自費,医療情報取得加算（初診）,1点,3,3点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1192,14，304点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,3,36点
初診,保険,外来感染対策向上加算（初診）,6点,1191,7，146点
初診,自費,外来感染対策向上加算（初診）,6点,3,18点
初診,保険,夜間・早朝等加算（初診）,50点,177,8，850点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1191,5，955点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,3,15点
初診,保険,発熱患者等対応加算（初診）,20点,489,9，780点
初診,自費,発熱患者等対応加算（初診）,20点,2,40点
初診,保険,連携強化加算（初診）,3点,1191,3，573点
初診,自費,連携強化加算（初診）,3点,3,9点
再診,保険,サーベイランス強化加算（再診）,1点,1493,1，493点
再診,自費,サーベイランス強化加算（再診）,1点,3,3点
再診,保険,再診料,75点,1941,145，575点
再診,自費,再診料,75点,3,225点
再診,保険,医療情報取得加算（再診）,1点,802,802点
再診,自費,医療情報取得加算（再診）,1点,3,3点
再診,保険,同日再診料,75点,1,75点
再診,保険,外来感染対策向上加算（再診）,6点,1493,8，958点
再診,自費,外来感染対策向上加算（再診）,6点,3,18点
再診,保険,外来管理加算,52点,1161,60，372点
再診,保険,夜間・早朝等加算（再診）,50点,205,10，250点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1493,7，465点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,3,15点
再診,保険,明細書発行体制等加算,1点,1942,1，942点
再診,自費,明細書発行体制等加算,1点,3,3点
再診,保険,発熱患者等対応加算（再診）,20点,193,3，860点
再診,保険,連携強化加算（再診）,3点,1493,4，479点
再診,自費,連携強化加算（再診）,3点,3,9点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,174,4，350点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,591,591点
医学管理,自費,サーベイランス強化加算（医学管理等）,1点,4,4点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,59,3，835点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,54,4，590点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,140,140点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,328,328点
医学管理,自費,医療情報取得加算（初診）（医学管理等）,1点,4,4点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,329,3，948点
医学管理,自費,医療ＤＸ推進体制整備加算１（医学管理等）,12点,4,48点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,591,3，546点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,4,24点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,166,13，280点
医学管理,自費,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,3,240点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,629,257，890点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,330,199，320点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,604点,4,2，416点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,591,2，955点
医学管理,自費,抗菌薬適正使用体制加算（医学管理等）,5点,4,20点
医学管理,保険,特定疾患療養管理料（診療所）,225点,1,225点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,370,7，400点
医学管理,自費,発熱患者等対応加算（医学管理等）,20点,4,80点
医学管理,保険,診療情報提供料（１）,250点,33,8，250点
医学管理,保険,連携強化加算（医学管理等）,3点,591,1，773点
医学管理,自費,連携強化加算（医学管理等）,3点,4,12点
医学管理,保険,難病外来指導管理料,270点,7,1，890点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,2,840点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,58,14，500点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,59,5，900点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,59,56，640点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,3,1，950点
投薬,保険,一般名処方加算１（処方箋料）,10点,1215,12，150点
投薬,自費,一般名処方加算１（処方箋料）,10点,2,20点
投薬,保険,一般名処方加算２（処方箋料）,8点,740,5，920点
投薬,自費,一般名処方加算２（処方箋料）,8点,3,24点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2698,161，880点
投薬,自費,処方箋料（リフィル以外・その他）,60点,8,480点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,4,224点
注射,保険,点滴注射（その他）（入院外）,53点,10,530点
注射,保険,皮内、皮下及び筋肉内注射,25点,10,250点
処置,保険,副鼻腔洗浄（その他）（片）,25点,60,1，500点
処置,保険,副鼻腔自然口開大処置,25点,1446,36，150点
処置,自費,副鼻腔自然口開大処置,25点,3,75点
処置,保険,扁桃処置,40点,2,80点
処置,保険,耳処置,27点,250,6，750点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,58,9，280点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,26,2，340点
処置,保険,耳管処置１（片）,36点,10,360点
処置,保険,血腫穿刺,80点,2,160点
処置,保険,超音波ネブライザ,24点,959,23，016点
処置,自費,超音波ネブライザ,24点,3,72点
処置,保険,鼓室処置（片）,62点,8,496点
処置,保険,鼻処置,16点,1459,23，344点
処置,自費,鼻処置,16点,3,48点
処置,保険,鼻出血止血法,240点,1,240点
手術,保険,イオントフォレーゼ加算,45点,12,540点
手術,保険,外耳道異物除去術（単純）,260点,6,1，560点
手術,保険,鼓膜切開術,830点,10,8，300点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,2,5，340点
手術,保険,鼻腔粘膜焼灼術,1，080点,6,6，480点
検査,保険,γ－ＧＴ,11点,6,66点
検査,保険,カリウム,11点,6,66点
検査,保険,クレアチニン,11点,6,66点
検査,保険,グルコース,11点,6,66点
