診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1569,451，872点
初診,自費,初診料,288点,2,576点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,4点,1415,5，660点
初診,自費,医療情報・システム基盤整備体制充実加算１（初診）,4点,2,8点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,50,100点
初診,保険,外来感染対策向上加算（初診）,6点,1565,9，390点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,362,18，100点
再診,保険,再診料,73点,1398,102，054点
再診,保険,同日再診料,73点,1,73点
再診,保険,外来感染対策向上加算（再診）,6点,1015,6，090点
再診,保険,外来管理加算,52点,699,36，348点
再診,保険,夜間・早朝等加算（再診）,50点,241,12，050点
再診,保険,明細書発行体制等加算,1点,1399,1，399点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,131,3，275点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,89,5，785点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,57,4，845点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,4点,247,988点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,588,3，528点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,124,9，920点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,631,256，186点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,291,174，309点
医学管理,保険,特定疾患療養管理料（診療所）,225点,1,225点
医学管理,保険,特定疾患療養管理料（１００床未満の病院）（特例）（１０月以降）,147点,677,99，519点
医学管理,自費,特定疾患療養管理料（１００床未満の病院）（特例）（１０月以降）,147点,1,147点
医学管理,保険,診療情報提供料（１）,250点,29,7，250点
医学管理,保険,難病外来指導管理料,270点,5,1，350点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,36,9，000点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,36,3，600点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,36,36，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
投薬,保険,一般名処方加算１（処方箋料）,7点,1396,9，772点
投薬,自費,一般名処方加算１（処方箋料）,7点,2,14点
投薬,保険,一般名処方加算２（処方箋料）,5点,721,3，605点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2647,179，996点
投薬,自費,処方箋料（リフィル以外・その他）,68点,4,272点
