診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1268,365，184点
初診,自費,初診料,288点,1,288点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,6点,1226,7，356点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,36,72点
初診,保険,外来感染対策向上加算（初診）,6点,1262,7，572点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,196,9，800点
初診,保険,時間外加算（初診）,85点,2,170点
再診,保険,再診料,73点,1402,102，346点
再診,保険,医療情報・システム基盤整備体制充実加算３（再診）（経過措置）,2点,825,1，650点
再診,保険,同日再診料,73点,3,219点
再診,保険,外来感染対策向上加算（再診）,6点,841,5，046点
再診,保険,外来管理加算,52点,586,30，472点
再診,保険,夜間・早朝等加算（再診）,50点,168,8，400点
再診,保険,明細書発行体制等加算,1点,1405,1，405点
再診,保険,時間外加算（再診）（入院外）,65点,2,130点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,5,1，400点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,116,2，900点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,66,4，290点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,34,2，890点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,6点,324,1，944点
医学管理,保険,医療情報・システム基盤整備体制充実加算３（医学管理等・経過措置）,2点,237,474点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,563,3，378点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,190,15，200点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,581,235，886点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,331,198，269点
医学管理,保険,特定疾患療養管理料（１００床未満の病院）（特例）（１０月以降）,147点,900,132，300点
医学管理,保険,診療情報提供料（１）,250点,46,11，500点
医学管理,保険,難病外来指導管理料,270点,4,1，080点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,11,4，620点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,34,8，500点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,35,3，500点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,35,35，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,1118,10，062点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,487,3，409点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2256,153，408点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,3,54点
注射,保険,点滴注射（その他）（入院外）,50点,1,50点
注射,保険,皮内、皮下及び筋肉内注射,22点,5,110点
