診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1325,1，325点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1328,386，448点
初診,自費,初診料,291点,1,291点
初診,保険,医療情報取得加算（初診）,1点,1325,1，325点
初診,自費,医療情報取得加算（初診）,1点,1,1点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1326,15，912点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,1,12点
初診,保険,外来感染対策向上加算（初診）,6点,1325,7，950点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,247,12，350点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1325,6，625点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,1,85点
初診,保険,発熱患者等対応加算（初診）,20点,553,11，060点
初診,自費,発熱患者等対応加算（初診）,20点,1,20点
初診,保険,連携強化加算（初診）,3点,1325,3，975点
初診,自費,連携強化加算（初診）,3点,1,3点
再診,保険,サーベイランス強化加算（再診）,1点,1159,1，159点
再診,自費,サーベイランス強化加算（再診）,1点,3,3点
再診,保険,再診料,75点,1565,117，375点
再診,自費,再診料,75点,3,225点
再診,保険,医療情報取得加算（再診）,1点,504,504点
再診,自費,医療情報取得加算（再診）,1点,3,3点
再診,保険,外来感染対策向上加算（再診）,6点,1159,6，954点
再診,自費,外来感染対策向上加算（再診）,6点,3,18点
再診,保険,外来管理加算,52点,787,40，924点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,201,10，050点
再診,自費,夜間・早朝等加算（再診）,50点,1,50点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1159,5，795点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,3,15点
再診,保険,明細書発行体制等加算,1点,1565,1，565点
再診,自費,明細書発行体制等加算,1点,3,3点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
再診,保険,発熱患者等対応加算（再診）,20点,185,3，700点
再診,保険,連携強化加算（再診）,3点,1159,3，477点
再診,自費,連携強化加算（再診）,3点,3,9点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,165,4，125点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,539,539点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,47,3，055点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,55,4，675点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,104,104点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,320,320点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,320,3，840点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,539,3，234点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,154,12，320点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,440,180，400点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,321,193，884点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,539,2，695点
医学管理,保険,特定疾患療養管理料（診療所）,225点,4,900点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,343,6，860点
医学管理,保険,診療情報提供料（１）,250点,34,8，500点
医学管理,自費,診療情報提供料（１）,250点,1,250点
医学管理,保険,連携強化加算（医学管理等）,3点,539,1，617点
医学管理,保険,難病外来指導管理料,270点,6,1，620点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,6,2，520点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,61,15，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,65,6，500点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,65,62，400点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
投薬,保険,一般名処方加算１（処方箋料）,10点,907,9，070点
投薬,自費,一般名処方加算１（処方箋料）,10点,1,10点
投薬,保険,一般名処方加算２（処方箋料）,8点,570,4，560点
投薬,自費,一般名処方加算２（処方箋料）,8点,2,16点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2187,131，220点
投薬,自費,処方箋料（リフィル以外・その他）,60点,3,180点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,6,336点
注射,保険,点滴注射（その他）（入院外）,53点,12,636点
