診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,953,953点
初診,自費,サーベイランス強化加算（初診）,1点,2,2点
初診,保険,初診料,291点,953,277，323点
初診,自費,初診料,291点,2,582点
初診,保険,医療情報取得加算１（初診）,3点,616,1，848点
初診,自費,医療情報取得加算１（初診）,3点,2,6点
初診,保険,医療情報取得加算２（初診）,1点,337,337点
初診,保険,医療ＤＸ推進体制整備加算（初診）,8点,953,7，624点
初診,自費,医療ＤＸ推進体制整備加算（初診）,8点,2,16点
初診,保険,外来感染対策向上加算（初診）,6点,953,5，718点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,89,4，450点
初診,自費,夜間・早朝等加算（初診）,50点,1,50点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,953,4，765点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,2,10点
初診,保険,発熱患者等対応加算（初診）,20点,438,8，760点
初診,保険,連携強化加算（初診）,3点,953,2，859点
初診,自費,連携強化加算（初診）,3点,2,6点
再診,保険,サーベイランス強化加算（再診）,1点,847,847点
再診,保険,再診料,75点,1214,91，050点
再診,保険,医療情報取得加算３（再診）,2点,176,352点
再診,保険,医療情報取得加算４（再診）,1点,87,87点
再診,保険,同日再診料,75点,1,75点
再診,保険,外来感染対策向上加算（再診）,6点,847,5，082点
再診,保険,外来管理加算,52点,559,29，068点
再診,保険,夜間・早朝等加算（再診）,50点,113,5，650点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,847,4，235点
再診,保険,明細書発行体制等加算,1点,1215,1，215点
再診,保険,発熱患者等対応加算（再診）,20点,161,3，220点
再診,保険,連携強化加算（再診）,3点,847,2，541点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,4,1，120点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,155,3，875点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,376,376点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,31,2，015点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,9,765点
医学管理,保険,医療情報取得加算１（医学管理等）,3点,131,393点
医学管理,保険,医療情報取得加算２（医学管理等）,1点,31,31点
医学管理,保険,医療情報取得加算３（医学管理等）,2点,64,128点
医学管理,保険,医療情報取得加算４（医学管理等）,1点,18,18点
医学管理,保険,医療ＤＸ推進体制整備加算（医学管理等）,8点,162,1，296点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,376,2，256点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,63,5，040点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,419,171，790点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,162,97，848点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,376,1，880点
医学管理,保険,特定疾患療養管理料（診療所）,225点,1,225点
