診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1475,1，475点
初診,保険,初診料,291点,1476,429，516点
初診,保険,医療情報取得加算（初診）,1点,1475,1，475点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,11点,1475,16，225点
初診,保険,外来感染対策向上加算（初診）,6点,1475,8，850点
初診,保険,夜間・早朝等加算（初診）,50点,205,10，250点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1475,7，375点
初診,保険,発熱患者等対応加算（初診）,20点,752,15，040点
初診,保険,連携強化加算（初診）,3点,1475,4，425点
再診,保険,サーベイランス強化加算（再診）,1点,918,918点
再診,自費,サーベイランス強化加算（再診）,1点,1,1点
再診,保険,再診料,75点,1456,109，200点
再診,自費,再診料,75点,1,75点
再診,保険,医療情報取得加算（再診）,1点,446,446点
再診,自費,医療情報取得加算（再診）,1点,1,1点
再診,保険,同日再診料,75点,1,75点
再診,保険,外来感染対策向上加算（再診）,6点,918,5，508点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,593,30，836点
再診,保険,夜間・早朝等加算（再診）,50点,128,6，400点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,918,4，590点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,1,5点
再診,保険,明細書発行体制等加算,1点,1457,1，457点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,発熱患者等対応加算（再診）,20点,193,3，860点
再診,保険,連携強化加算（再診）,3点,918,2，754点
再診,自費,連携強化加算（再診）,3点,1,3点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,149,3，725点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,472,472点
医学管理,自費,サーベイランス強化加算（医学管理等）,1点,3,3点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,34,2，210点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,24,2，040点
医学管理,自費,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,乳幼児時間外加算（再診）（小児科外来診療料）,65点,1,65点
医学管理,保険,傷病手当金意見書交付料,100点,3,300点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,105,105点
医学管理,自費,医療情報取得加算（再診）（医学管理等）,1点,2,2点
