診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1113,320，544点
初診,自費,初診料,288点,2,576点
初診,保険,外来感染対策向上加算（初診）,6点,1111,6，666点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,135,6，750点
初診,保険,時間外加算（初診）,85点,2,170点
再診,保険,再診料,73点,1422,103，806点
再診,自費,再診料,73点,1,73点
再診,保険,同日再診料,73点,4,292点
再診,保険,外来感染対策向上加算（再診）,6点,864,5，184点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,534,27，768点
再診,保険,夜間・早朝等加算（再診）,50点,178,8，900点
再診,保険,明細書発行体制等加算,1点,1426,1，426点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,13,3，640点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,103,2，575点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,77,5，005点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,25,2，125点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,552,3，312点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,115,9，200点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,628,254，968点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,268,160，532点
医学管理,保険,特定疾患療養管理料（１００床未満・療養指導）（特例）,147点,77,11，319点
医学管理,保険,診療情報提供料（１）,250点,30,7，500点
医学管理,保険,院内トリアージ実施料（特例）,300点,791,237，300点
医学管理,自費,院内トリアージ実施料（特例）,300点,1,300点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,7,2，940点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,28,7，000点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,29,2，900点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,29,29，000点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,1244,11，196点
投薬,自費,一般名処方加算１（処方箋料）（経過措置）,9点,2,18点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,386,2，702点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2117,143，956点
投薬,自費,処方箋料（リフィル以外・その他）,68点,3,204点
投薬,保険,処方箋料（リフィル以外・７種類以上内服薬）,40点,1,40点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,1,18点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,1,66点
注射,保険,点滴注射（その他）（入院外）,50点,2,100点
注射,保険,皮内、皮下及び筋肉内注射,22点,2,44点
処置,保険,副鼻腔洗浄（その他）（片）,25点,118,2，950点
処置,保険,副鼻腔自然口開大処置,25点,1234,30，850点
処置,自費,副鼻腔自然口開大処置,25点,2,50点
処置,保険,創傷処置（１００ｃｍ２未満）,52点,1,52点
処置,保険,口腔、咽頭処置,16点,4,64点
処置,保険,扁桃処置,40点,4,160点
処置,保険,耳処置,27点,349,9，423点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,26,4，680点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,16,1，600点
処置,自費,耳垢栓塞除去（複雑）（片）,100点,1,100点
処置,保険,耳管処置１（片）,36点,9,324点
処置,保険,超音波ネブライザ,24点,1041,24，984点
処置,自費,超音波ネブライザ,24点,2,48点
処置,保険,鼓室処置（片）,55点,17,935点
処置,保険,鼻処置,16点,1277,20，432点
処置,自費,鼻処置,16点,2,32点
処置,保険,鼻出血止血法,240点,2,480点
手術,保険,イオントフォレーゼ加算,45点,7,315点
手術,保険,下甲介粘膜レーザー焼灼術（両側）,2，910点,3,8，730点
