診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,819,235，872点
初診,保険,外来感染対策向上加算（初診）,6点,816,4，896点
初診,保険,夜間・早朝等加算（初診）,50点,92,4，600点
再診,保険,乳幼児加算（再診）,38点,7,266点
再診,保険,二類感染症患者入院診療加算（電話等再診料・診療報酬上臨時的取扱）,250点,140,35，000点
再診,保険,再診料,73点,784,57，232点
再診,自費,再診料,73点,1,73点
再診,保険,同日再診料,73点,4,292点
再診,保険,外来感染対策向上加算（再診）,6点,489,2，934点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,423,21，996点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,111,5，550点
再診,保険,明細書発行体制等加算,1点,928,928点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,電話等再診料,73点,140,10，220点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,7,1，960点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,83,2，075点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,32,2，080点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,8,680点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,376,94，000点
医学管理,自費,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,1,250点
医学管理,保険,傷病手当金意見書交付料,100点,5,500点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,334,2，004点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,1,6点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,110,8，800点
医学管理,自費,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,1,80点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,265,107，590点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,213,127，587点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,599点,1,599点
医学管理,保険,特定疾患療養管理料（診療所）,225点,10,2，250点
医学管理,保険,診療情報提供料（１）,250点,26,6，500点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,395,118，500点
医学管理,自費,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,1,300点
医学管理,保険,難病外来指導管理料,270点,2,540点
医学管理,保険,電話等による診療（新型コロナウイルス感染症・臨時的取扱）,147点,23,3，381点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,8,3，360点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,13,3，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,13,1，300点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,13,13，000点
投薬,保険,一般名処方加算１（処方箋料）,7点,495,3，465点
投薬,保険,一般名処方加算２（処方箋料）,5点,303,1，515点
投薬,保険,処方箋料（リフィル以外・その他）,68点,1277,86，836点
投薬,自費,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,5,90点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,6,396点
注射,保険,点滴注射（その他）（入院外）,50点,3,150点
注射,保険,皮内、皮下及び筋肉内注射,22点,2,44点
処置,保険,副鼻腔洗浄（その他）（片）,25点,47,1，175点
処置,保険,副鼻腔自然口開大処置,25点,570,14，250点
処置,保険,創傷処置（１００ｃｍ２未満）,52点,1,52点
処置,保険,口腔、咽頭処置,16点,6,96点
処置,保険,扁桃処置,40点,1,40点
処置,保険,耳処置,27点,228,6，156点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,29,5，220点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,19,1，900点
処置,保険,耳管処置１（片）,36点,2,72点
処置,保険,超音波ネブライザ,24点,313,7，512点
処置,保険,鼓室処置（片）,55点,18,990点
処置,保険,鼻処置,16点,614,9，824点
