診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1295,372，960点
初診,自費,初診料,288点,2,576点
初診,保険,外来感染対策向上加算（初診）,6点,1291,7，746点
初診,自費,外来感染対策向上加算（初診）,6点,2,12点
初診,保険,夜間・早朝等加算（初診）,50点,260,13，000点
初診,自費,夜間・早朝等加算（初診）,50点,1,50点
初診,保険,時間外加算（初診）,85点,3,255点
再診,保険,再診料,73点,1547,112，931点
再診,保険,外来感染対策向上加算（再診）,6点,1030,6，180点
再診,保険,外来管理加算,52点,603,31，356点
再診,保険,夜間・早朝等加算（再診）,50点,286,14，300点
再診,保険,明細書発行体制等加算,1点,1547,1，547点
再診,保険,時間外加算（再診）（入院外）,65点,3,195点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,2,560点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,102,2，550点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,85,5，525点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,59,5，015点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,642,3，852点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,162,12，960点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,744,302，064点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,318,190，482点
医学管理,保険,特定疾患療養管理料（１００床未満・療養指導）（特例）,147点,18,2，646点
医学管理,保険,診療情報提供料（１）,250点,54,13，500点
医学管理,保険,院内トリアージ実施料（特例）,300点,565,169，500点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,132,39，600点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,8,3，360点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,25,6，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,27,2，700点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,27,27，000点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,1206,10，854点
投薬,自費,一般名処方加算１（処方箋料）（経過措置）,9点,1,9点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,463,3，241点
投薬,自費,一般名処方加算２（処方箋料）（経過措置）,7点,1,7点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2193,149，124点
投薬,自費,処方箋料（リフィル以外・その他）,68点,2,136点
投薬,保険,処方箋料（リフィル以外・７種類以上内服薬）,40点,1,40点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,2,36点
注射,保険,点滴注射（その他）（入院外）,50点,4,200点
注射,保険,皮内、皮下及び筋肉内注射,22点,3,66点
注射,保険,静脈内注射,34点,1,34点
処置,保険,副鼻腔洗浄（その他）（片）,25点,112,2，800点
処置,保険,副鼻腔自然口開大処置,25点,1349,33，725点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,創傷処置（１００ｃｍ２未満）,52点,4,208点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,扁桃処置,40点,3,120点
処置,保険,耳処置,27点,269,7，263点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,203,36，540点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,51,5，100点
処置,保険,耳管処置１（片）,36点,4,144点
処置,保険,血腫穿刺,80点,2,160点
処置,保険,超音波ネブライザ,24点,1068,25，632点
処置,保険,鼓室処置（片）,55点,13,715点
処置,保険,鼻処置,16点,1483,23，728点
処置,自費,鼻処置,16点,2,32点
処置,保険,鼻出血止血法,240点,4,960点
手術,保険,イオントフォレーゼ加算,45点,10,450点
手術,保険,咽頭異物摘出術（簡単）,500点,1,500点
手術,保険,外耳道異物除去術（単純）,260点,3,780点
手術,保険,耳介血腫開窓術,460点,1,460点
手術,保険,鼓膜切開術,830点,9,7，470点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,1,2，670点
手術,保険,鼻内異物摘出術,690点,1,690点
手術,保険,鼻腔粘膜焼灼術,1，080点,14,15，120点
検査,保険,γ－ＧＴ,11点,4,44点
検査,保険,インフルエンザウイルス抗原定性,136点,46,6，256点
検査,保険,カリウム,11点,4,44点
検査,保険,クレアチニン,11点,4,44点
検査,保険,グルコース,11点,3,33点
検査,保険,グロブリンクラス別ウイルス抗体価（ＥＢ）,206点,1,206点
検査,保険,チンパノメトリー,340点,50,17，000点
検査,保険,ナトリウム及びクロール,11点,4,44点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,5,1，000点
検査,保険,ビタミンＢ１２,140点,2,280点
検査,保険,ヘルペスウイルス抗体価（定性・半定量・定量）,79点,2,158点
検査,保険,免疫学的検査判断料,144点,175,25，200点
検査,保険,平衡機能検査（標準検査）,20点,85,1，700点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,45,13，500点
検査,保険,平衡機能検査（重心動揺計）,250点,5,1，250点
検査,保険,微生物学的検査判断料,150点,20,3，000点
検査,保険,抗ＳＳ－Ａ／Ｒｏ抗体定量,161点,1,161点
