診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1283,1，283点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1284,373，644点
初診,自費,初診料,291点,1,291点
初診,保険,医療情報取得加算（初診）,1点,1284,1，284点
初診,自費,医療情報取得加算（初診）,1点,1,1点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1284,15，408点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,1,12点
初診,保険,外来感染対策向上加算（初診）,6点,1283,7，698点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,195,9，750点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1283,6，415点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,3,255点
初診,保険,発熱患者等対応加算（初診）,20点,587,11，740点
初診,自費,発熱患者等対応加算（初診）,20点,1,20点
初診,保険,連携強化加算（初診）,3点,1283,3，849点
初診,自費,連携強化加算（初診）,3点,1,3点
再診,保険,サーベイランス強化加算（再診）,1点,1025,1，025点
再診,自費,サーベイランス強化加算（再診）,1点,3,3点
再診,保険,再診料,75点,1538,115，350点
再診,自費,再診料,75点,3,225点
再診,保険,医療情報取得加算（再診）,1点,683,683点
再診,自費,医療情報取得加算（再診）,1点,3,3点
再診,保険,外来感染対策向上加算（再診）,6点,1025,6，150点
再診,自費,外来感染対策向上加算（再診）,6点,3,18点
再診,保険,外来管理加算,52点,746,38，792点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,149,7，450点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1025,5，125点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,3,15点
再診,保険,明細書発行体制等加算,1点,1538,1，538点
再診,自費,明細書発行体制等加算,1点,3,3点
再診,保険,発熱患者等対応加算（再診）,20点,181,3，620点
再診,保険,連携強化加算（再診）,3点,1025,3，075点
再診,自費,連携強化加算（再診）,3点,3,9点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,19,5，320点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,158,3，950点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,509,509点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,31,2，015点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,28,2，380点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,113,113点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,299,299点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,302,3，624点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,509,3，054点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,148,11，840点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,470,192，700点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,305,184，220点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,509,2，545点
医学管理,保険,特定疾患療養管理料（診療所）,225点,3,675点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,334,6，680点
医学管理,保険,診療情報提供料（１）,250点,41,10，250点
医学管理,保険,連携強化加算（医学管理等）,3点,509,1，527点
医学管理,保険,難病外来指導管理料,270点,7,1，890点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,14,5，880点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,62,15，500点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,62,6，200点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,62,59，520点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,3,1，950点
投薬,保険,一般名処方加算１（処方箋料）,10点,902,9，020点
投薬,自費,一般名処方加算１（処方箋料）,10点,1,10点
投薬,保険,一般名処方加算２（処方箋料）,8点,518,4，144点
投薬,自費,一般名処方加算２（処方箋料）,8点,3,24点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2188,131，280点
投薬,自費,処方箋料（リフィル以外・その他）,60点,4,240点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,7,392点
注射,保険,点滴注射（その他）（入院外）,53点,3,159点
注射,保険,皮内、皮下及び筋肉内注射,25点,2,50点
処置,保険,副鼻腔洗浄（その他）（片）,25点,154,3，850点
処置,保険,副鼻腔自然口開大処置,25点,1382,34，550点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,扁桃処置,40点,2,80点
処置,保険,耳処置,27点,264,7，128点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,119,19，040点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,33,2，970点
処置,保険,耳管処置１（片）,36点,12,432点
処置,保険,血腫穿刺,80点,3,240点
処置,保険,超音波ネブライザ,24点,1055,25，320点
