診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,644,185，472点
初診,保険,夜間・早朝等加算（初診）,50点,45,2，250点
初診,保険,時間外加算（初診）,85点,2,170点
再診,保険,再診料,73点,624,45，552点
再診,保険,外来管理加算,52点,284,14，768点
再診,保険,夜間・早朝等加算（再診）,50点,52,2，600点
再診,保険,明細書発行体制等加算,1点,624,624点
再診,保険,時間外加算（再診）（入院外）,65点,3,195点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,21,1，365点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,15,1，275点
医学管理,保険,乳幼児感染予防策加算（小児科外来診療料等・診療報酬上臨時的取扱）,50点,492,24，600点
医学管理,保険,乳幼児時間外加算（再診）（小児科外来診療料）,65点,1,65点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,5,1，250点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,179,14，320点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,245,99，470点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,247,147，953点
医学管理,保険,特定疾患療養管理料（診療所）,225点,3,675点
医学管理,保険,診療情報提供料（１）,250点,15,3，750点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,5,1，500点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,15,6，300点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,5,1，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,6,600点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,6,6，000点
投薬,保険,一般名処方加算１（処方箋料）,7点,472,3，304点
投薬,保険,一般名処方加算２（処方箋料）,5点,215,1，075点
投薬,保険,処方箋料（その他）,68点,1000,68，000点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,4,72点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,8,528点
注射,保険,点滴注射（その他）（入院外）,49点,1,49点
注射,保険,皮内、皮下及び筋肉内注射,20点,2,40点
処置,保険,副鼻腔自然口開大処置,25点,618,15，450点
処置,保険,創傷処置（１００ｃｍ２未満）,52点,3,156点
処置,保険,口腔、咽頭処置,14点,7,98点
処置,保険,耳処置,25点,194,4，850点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,15,2，700点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,19,1，900点
処置,保険,耳管処置１（片）,36点,15,540点
処置,保険,超音波ネブライザー,24点,395,9，480点
処置,保険,鼓室処置（片）,55点,10,550点
処置,保険,鼻処置,14点,630,8，820点
処置,保険,鼻出血止血法,240点,3,720点
手術,保険,下甲介粘膜レーザー焼灼術（両側）,2，910点,3,8，730点
手術,保険,唾石摘出術（表在性）,640点,1,640点
手術,保険,外耳道異物除去術（単純）,260点,2,520点
手術,保険,鼻腔粘膜焼灼術,1，080点,5,5，400点
検査,保険,チンパノメトリー,340点,39,13，260点
検査,保険,パワー・ベクトル分析加算,200点,26,5，200点
検査,保険,免疫学的検査判断料,144点,35,5，040点
検査,保険,平衡機能検査（標準検査）,20点,37,740点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,29,8，700点
検査,保険,微生物学的検査判断料,150点,3,450点
検査,保険,時間外加算（内視鏡検査）,40％,1,240点
検査,保険,検査逓減,-10％,7,-419点
検査,保険,標準純音聴力検査,350点,132,46，200点
検査,保険,特異的ＩｇＥ半定量・定量,110点,976,38，720点
検査,保険,簡易聴力検査（気導純音聴力）,110点,41,4，510点
検査,保険,細菌培養同定検査（その他）,160点,3,480点
検査,保険,細菌薬剤感受性検査（１菌種）,170点,3,510点
検査,保険,細菌薬剤感受性検査（２菌種）,220点,1,220点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,3,2，160点
検査,保険,耳鳴検査,400点,16,6，400点
検査,保険,脳波検査判断料２,180点,3,540点
検査,保険,超音波検査（断層撮影法）（その他）,350点,11,3，850点
検査,保険,重心動揺計,250点,26,6，500点
検査,保険,静脈性嗅覚検査,45点,3,135点
検査,保険,非特異的ＩｇＥ定量,100点,24,2，400点
検査,保険,鼻腔・咽頭拭い液採取,5点,3,15点
検査,保険,Ｂ－Ｃ,6点,5,30点
検査,保険,Ｂ－Ｖ,35点,24,840点
検査,保険,ＥＦ－喉頭,600点,50,30，000点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,90,54，000点
検査,保険,Ｓ－Ｍ,61点,3,183点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出,600点,5,3，000点
検査,保険,ＳＡＲＳ－ＣｏＶ－２抗原検出（定量）,600点,1,600点
画像,保険,コンピューター断層診断,450点,7,3，150点
画像,保険,電子画像管理加算（コンピューター断層診断料）,120点,7,840点
画像,保険,ＣＴ撮影（イ、ロ又はハ以外）,560点,7,3，920点
保険外費用,自費,インフル3100円,3，100円,6,18，600円
保険外費用,自費,クーポン3000円,3，000円,74,222，000円
保険外費用,自費,会計0円,0円,1,0円
保険外費用,自費,小児インフル2800円,2，800円,2,5，600円
保険外費用,自費,小児クーポン2700円,2，700円,107,288，900円
保険外費用,自費,小児クーポンペンレス3200円,3，200円,3,9，600円
保険外費用,保険,診察券代100円,100円,1,100円
保険外費用,保険,診断書（精密）3000円,3，000円,1,3，000円
保険外費用,自費,身体障害者診断書・意見書3000円,3，000円,1,3，000円
合計,合　計,点数合計,,,938，225点
,,金額合計,,,550，800円
