診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1683,1，683点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1683,489，753点
初診,自費,初診料,291点,1,291点
初診,保険,医療情報取得加算（初診）,1点,1683,1，683点
初診,自費,医療情報取得加算（初診）,1点,1,1点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1683,20，196点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,1,12点
初診,保険,外来感染対策向上加算（初診）,6点,1683,10，098点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,241,12，050点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1683,8，415点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,2,170点
初診,保険,発熱患者等対応加算（初診）,20点,717,14，340点
初診,保険,連携強化加算（初診）,3点,1683,5，049点
初診,自費,連携強化加算（初診）,3点,1,3点
再診,保険,サーベイランス強化加算（再診）,1点,1099,1，099点
再診,保険,再診料,75点,1571,117，825点
再診,保険,医療情報取得加算（再診）,1点,571,571点
再診,保険,同日再診料,75点,1,75点
再診,保険,外来感染対策向上加算（再診）,6点,1099,6，594点
再診,保険,外来管理加算,52点,813,42，276点
再診,保険,夜間・早朝等加算（再診）,50点,121,6，050点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1099,5，495点
再診,保険,明細書発行体制等加算,1点,1572,1，572点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
再診,保険,発熱患者等対応加算（再診）,20点,192,3，840点
再診,保険,連携強化加算（再診）,3点,1099,3，297点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,169,4，225点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,456,456点
医学管理,自費,サーベイランス強化加算（医学管理等）,1点,5,5点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,27,1，755点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,17,1，445点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,107,107点
医学管理,自費,医療情報取得加算（再診）（医学管理等）,1点,3,3点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,294,294点
医学管理,自費,医療情報取得加算（初診）（医学管理等）,1点,2,2点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,295,3，540点
医学管理,自費,医療ＤＸ推進体制整備加算１（医学管理等）,12点,2,24点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,456,2，736点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,5,30点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,167,13，360点
医学管理,自費,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,2,160点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,409,167，690点
医学管理,自費,小児科外来診療料（処方箋を交付）再診時,410点,3,1，230点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,295,178，180点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,604点,2,1，208点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,456,2，280点
医学管理,自費,抗菌薬適正使用体制加算（医学管理等）,5点,5,25点
医学管理,保険,特定疾患療養管理料（診療所）,225点,4,900点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,330,6，600点
医学管理,自費,発熱患者等対応加算（医学管理等）,20点,2,40点
医学管理,保険,診療情報提供料（１）,250点,32,8，000点
医学管理,保険,連携強化加算（医学管理等）,3点,456,1，368点
医学管理,自費,連携強化加算（医学管理等）,3点,5,15点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,8,3，360点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,81,20，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,86,8，600点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,86,82，560点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）,10点,1494,14，940点
投薬,自費,一般名処方加算１（処方箋料）,10点,1,10点
投薬,保険,一般名処方加算２（処方箋料）,8点,698,5，584点
投薬,自費,一般名処方加算２（処方箋料）,8点,2,16点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2877,172，620点
投薬,自費,処方箋料（リフィル以外・その他）,60点,4,240点
投薬,保険,処方箋料（リフィル以外・７種類以上内服薬）,32点,1,32点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,4,224点
注射,保険,点滴注射（その他）（入院外）,53点,5,265点
注射,保険,皮内、皮下及び筋肉内注射,25点,9,225点
処置,保険,副鼻腔手術後の処置（片）,45点,3,135点
処置,保険,副鼻腔洗浄（その他）（片）,25点,78,1，950点
処置,保険,副鼻腔自然口開大処置,25点,1897,47，425点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,口腔、咽頭処置,16点,1,16点
処置,保険,扁桃処置,40点,1,40点
処置,保険,扁桃周囲膿瘍穿刺,180点,1,180点
処置,保険,耳処置,27点,220,5，940点
処置,自費,耳処置,27点,1,27点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,47,7，520点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,23,2，070点
処置,保険,耳管処置１（片）,36点,10,360点
処置,保険,血腫穿刺,80点,5,400点
処置,保険,超音波ネブライザ,24点,1081,25，944点
処置,保険,鼓室処置（片）,62点,4,248点
処置,保険,鼻処置,16点,1912,30，592点
処置,自費,鼻処置,16点,1,16点
処置,保険,鼻出血止血法,240点,2,480点
手術,保険,イオントフォレーゼ加算,45点,6,270点
手術,保険,下甲介粘膜レーザー焼灼術（両側）,2，910点,7,20，370点
手術,保険,外耳道異物除去術（単純）,260点,6,1，560点
手術,保険,鼓膜切開術,830点,4,3，320点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,3,8，010点
手術,保険,鼻腔粘膜焼灼術,1，080点,10,10，800点
検査,保険,γ－ＧＴ,11点,1,11点
検査,保険,アデノウイルス抗原定性（糞便を除く。）,179点,1,179点
検査,保険,カリウム,11点,1,11点
検査,保険,クレアチニン,11点,1,11点
検査,保険,グルコース,11点,1,11点
検査,保険,チンパノメトリー,340点,31,10，540点
検査,保険,ナトリウム及びクロール,11点,1,11点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,7,1，400点
検査,保険,免疫学的検査判断料,144点,246,35，424点
検査,保険,平衡機能検査（標準検査）,20点,66,1，320点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,46,13，800点
検査,保険,平衡機能検査（重心動揺計）,250点,7,1，750点
検査,保険,微生物学的検査判断料,150点,11,1，650点
検査,保険,末梢血液一般検査,21点,1,21点
検査,保険,末梢血液像（自動機械法）,15点,1,15点
検査,保険,検査逓減,-10％,43,-2，580点
検査,保険,標準純音聴力検査,350点,180,63，000点
