診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1233,1，233点
初診,自費,サーベイランス強化加算（初診）,1点,3,3点
初診,保険,初診料,291点,1238,360，258点
初診,自費,初診料,291点,3,873点
初診,保険,外来感染対策向上加算（初診）,6点,1233,7，398点
初診,自費,外来感染対策向上加算（初診）,6点,3,18点
初診,保険,夜間・早朝等加算（初診）,50点,91,4，550点
初診,自費,夜間・早朝等加算（初診）,50点,1,50点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1233,6，165点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,3,15点
初診,保険,特定機能病院等紹介患者受入加算（初診）,60点,2,120点
初診,保険,発熱患者等対応加算（初診）,20点,509,10，180点
初診,保険,連携強化加算（初診）,3点,1233,3，699点
初診,自費,連携強化加算（初診）,3点,3,9点
初診,保険,電子的診療情報連携体制整備加算２（初診）,9点,1233,11，097点
初診,自費,電子的診療情報連携体制整備加算２（初診）,9点,3,27点
再診,保険,サーベイランス強化加算（再診）,1点,1168,1，168点
再診,自費,サーベイランス強化加算（再診）,1点,1,1点
再診,保険,再診料,76点,1735,131，860点
再診,自費,再診料,76点,1,76点
再診,保険,同日再診料,76点,2,152点
再診,保険,外来感染対策向上加算（再診）,6点,1168,7，008点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,903,46，956点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,106,5，300点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1168,5，840点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,1,5点
再診,保険,時間外加算（再診）（入院外）,65点,1,65点
再診,保険,時間外対応体制加算３,4点,1737,6，948点
再診,自費,時間外対応体制加算３,4点,1,4点
再診,保険,発熱患者等対応加算（再診）,20点,173,3，460点
再診,保険,連携強化加算（再診）,3点,1168,3，504点
再診,自費,連携強化加算（再診）,3点,1,3点
再診,保険,電子的診療情報連携体制整備加算（再診）,2点,1168,2，336点
再診,自費,電子的診療情報連携体制整備加算（再診）,2点,1,2点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,36,10，080点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,178,4，450点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,451,451点
医学管理,自費,サーベイランス強化加算（医学管理等）,1点,1,1点
医学管理,保険,ニコチン依存症管理料２,800点,2,1，600点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,34,2，210点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,12,1，020点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,451,2，706点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,1,6点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,142,11，360点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,411点,440,180，840点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,275,166，100点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,604点,1,604点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,451,2，255点
医学管理,自費,抗菌薬適正使用体制加算（医学管理等）,5点,1,5点
医学管理,保険,特定機能病院等紹介患者受入加算（初診）（医学管理等）,60点,2,120点
医学管理,保険,特定疾患療養管理料（診療所）,225点,3,675点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,290,5，800点
医学管理,自費,発熱患者等対応加算（医学管理等）,20点,1,20点
医学管理,保険,診療情報提供料（１）,250点,47,11，750点
医学管理,保険,連携強化加算（医学管理等）,3点,451,1，353点
医学管理,自費,連携強化加算（医学管理等）,3点,1,3点
医学管理,保険,難病外来指導管理料１,270点,4,1，080点
医学管理,保険,電子的診療情報連携体制整備加算（再診）（医学管理等）,2点,176,352点
医学管理,保険,電子的診療情報連携体制整備加算２（初診）（医学管理等）,9点,275,2，475点
医学管理,自費,電子的診療情報連携体制整備加算２（初診）（医学管理等）,9点,1,9点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,11,4，620点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,240点,80,19，200点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,81,8，100点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,81,77，760点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
在宅,保険,持続陽圧呼吸療法充実管理体制加算,15点,80,1，200点
投薬,保険,一般名処方加算１（処方箋料）,8点,867,6，936点
投薬,保険,一般名処方加算２（処方箋料）,6点,507,3，042点
投薬,自費,一般名処方加算２（処方箋料）,6点,3,18点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2316,138，960点
投薬,自費,処方箋料（リフィル以外・その他）,60点,3,180点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,3,168点
注射,保険,点滴注射（その他）（入院外）,53点,7,371点
注射,保険,皮内、皮下及び筋肉内注射,25点,4,100点
処置,保険,副鼻腔洗浄（その他）（片）,25点,84,2，100点
処置,保険,副鼻腔自然口開大処置,25点,1201,30，025点
処置,自費,副鼻腔自然口開大処置,25点,1,25点
処置,保険,口腔、咽頭処置,16点,4,64点
処置,保険,扁桃処置,40点,2,80点
処置,保険,耳処置,27点,288,7，776点
処置,自費,耳処置,27点,1,27点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,110,17，600点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,44,3，960点
処置,自費,耳垢栓塞除去（複雑）（片）,90点,1,90点
処置,保険,耳管処置１（片）,36点,10,360点
処置,保険,膿腫穿刺,80点,1,80点
処置,保険,超音波ネブライザ,24点,899,21，576点
