診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,908,261，504点
初診,自費,初診料,288点,1,288点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,6点,647,3，882点
初診,自費,医療情報・システム基盤整備体制充実加算１（初診）,6点,1,6点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,23,46点
初診,保険,外来感染対策向上加算（初診）,6点,906,5，436点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,83,4，150点
初診,保険,時間外加算（初診）,85点,1,85点
再診,保険,再診料,73点,1086,79，278点
再診,保険,医療情報・システム基盤整備体制充実加算３（再診）（経過措置）,2点,553,1，106点
再診,保険,外来感染対策向上加算（再診）,6点,760,4，560点
再診,保険,外来管理加算,52点,492,25，584点
再診,保険,夜間・早朝等加算（再診）,50点,102,5，100点
再診,保険,明細書発行体制等加算,1点,1086,1，086点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,9,2，520点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,124,3，100点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,26,1，690点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,19,1，615点
医学管理,保険,乳幼児時間外加算（初診）（小児科外来診療料）,85点,1,85点
医学管理,保険,傷病手当金意見書交付料,100点,6,600点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,6点,127,762点
医学管理,保険,医療情報・システム基盤整備体制充実加算３（医学管理等・経過措置）,2点,154,308点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,388,2，328点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,1,6点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,58,4，640点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,350,142，100点
医学管理,自費,小児科外来診療料（処方箋を交付）再診時,406点,1,406点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,181,108，419点
医学管理,保険,特定疾患療養管理料（１００床未満・療養指導）（特例）,147点,80,11，760点
医学管理,保険,診療情報提供料（１）,250点,33,8，250点
医学管理,保険,院内トリアージ実施料（特例）,300点,483,144，900点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,6,2，520点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,29,7，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,30,3，000点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,30,30，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,780,7，020点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,337,2，359点
投薬,保険,処方箋料（リフィル以外・その他）,68点,1637,111，316点
投薬,自費,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,保険,処方箋料（リフィル以外・７種類以上内服薬）,40点,1,40点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,3,54点
注射,保険,皮内、皮下及び筋肉内注射,22点,3,66点
処置,保険,副鼻腔洗浄（その他）（片）,25点,89,2，225点
処置,保険,副鼻腔自然口開大処置,25点,904,22，600点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,耳処置,27点,268,7，236点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,19,3，420点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,17,1，700点
処置,保険,耳管処置１（片）,36点,6,216点
処置,保険,血腫穿刺,80点,3,240点
処置,保険,超音波ネブライザ,24点,728,17，472点
処置,保険,鼓室処置（片）,55点,22,1，210点
処置,保険,鼻処置,16点,934,14，944点
手術,保険,イオントフォレーゼ加算,45点,9,405点
手術,保険,外耳道異物除去術（単純）,260点,5,1，300点
手術,保険,耳介血腫開窓術,460点,1,460点
手術,保険,鼓膜切開術,830点,7,5，810点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,2,5，340点
手術,保険,鼻腔粘膜焼灼術,1，080点,3,3，240点
検査,保険,γ－ＧＴ,11点,3,33点
検査,保険,アデノウイルス抗原定性（糞便を除く。）,184点,1,184点
検査,保険,カリウム,11点,3,33点
検査,保険,クレアチニン,11点,3,33点
検査,保険,グルコース,11点,3,33点
検査,保険,グロブリンクラス別ウイルス抗体価（ムンプス）,206点,1,206点
検査,保険,チンパノメトリー,340点,33,11，220点
検査,保険,ナトリウム及びクロール,11点,3,33点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,3,600点
検査,保険,ヘルペスウイルス抗体価（定性・半定量・定量）,79点,1,79点
検査,保険,免疫学的検査判断料,144点,203,29，232点
検査,保険,平衡機能検査（標準検査）,20点,60,1，200点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,31,9，300点
検査,保険,平衡機能検査（重心動揺計）,250点,3,750点
検査,保険,微生物学的検査判断料,150点,17,2，550点
検査,保険,抗ＳＳ－Ａ／Ｒｏ抗体定量,161点,1,161点
検査,保険,抗ＳＳ－Ｂ／Ｌａ抗体定量,158点,1,158点
検査,保険,時間外加算（内視鏡検査）,40％,1,240点
検査,保険,末梢血液一般検査,21点,3,63点
検査,保険,末梢血液像（自動機械法）,15点,1,15点
検査,保険,検査逓減,-10％,22,-1，295点
検査,保険,標準純音聴力検査,350点,155,54，250点
検査,保険,水痘・帯状疱疹ウイルス抗体価（定性・半定量・定量）,79点,1,79点
検査,保険,特異的ＩｇＥ半定量・定量,110点,503,23，870点
検査,保険,生化学的検査（１）判断料,144点,3,432点
検査,保険,簡易聴力検査（気導純音聴力）,110点,96,10，560点
検査,保険,細菌培養同定検査（その他）,170点,16,2，720点
検査,保険,細菌培養同定検査（口腔）,170点,1,170点
検査,保険,細菌薬剤感受性検査（１菌種）,180点,8,1，440点
検査,保険,細菌薬剤感受性検査（２菌種）,230点,1,230点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,3,2，160点
検査,保険,脳波検査判断料２,180点,3,540点
検査,保険,血液学的検査判断料,125点,3,375点
検査,保険,超音波検査（断層撮影法）（その他）,350点,17,5，950点
検査,保険,静脈性嗅覚検査,45点,12,540点
検査,保険,非特異的ＩｇＥ定量,100点,16,1，600点
検査,保険,鼻腔・咽頭拭い液採取,25点,159,3，975点
検査,保険,Ａ群β溶連菌迅速試験定性,124点,18,2，232点
検査,保険,ＡＬＰ,11点,3,33点
検査,保険,ＡＬＴ,17点,3,51点
検査,保険,ＡＳＴ,17点,3,51点
検査,保険,Ａｌｂ（ＢＣＰ改良法・ＢＣＧ法）,11点,3,33点
検査,保険,Ａｍｙ,11点,3,33点
検査,保険,Ｂ－Ｃ,6点,3,18点
検査,保険,Ｂ－Ｖ,37点,19,703点
検査,保険,ＢＩＬ／総,11点,3,33点
検査,保険,ＢＵＮ,11点,3,33点
検査,保険,ＣＲＰ,16点,1,16点
検査,保険,ＣｈＥ,11点,3,33点
検査,保険,ＥＦ－喉頭,600点,64,38，400点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,205,123，000点
検査,保険,ＨｂＡ１ｃ,49点,1,49点
検査,保険,ＬＤ,11点,3,33点
検査,保険,Ｓ－Ｍ,64点,17,1，088点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出（定性）,420点,161,67，620点
検査,保険,ＳＡＲＳ－ＣｏＶ－２抗原検出（定性）,300点,4,1，200点
検査,保険,ＴＰ,11点,3,33点
検査,保険,ＵＡ,11点,3,33点
画像,保険,コンピューター断層診断,450点,17,7，650点
画像,自費,コンピューター断層診断,450点,1,450点
