診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1144,1，144点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1145,333，195点
初診,自費,初診料,291点,1,291点
初診,保険,外来感染対策向上加算（初診）,6点,1144,6，864点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,87,4，350点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1144,5，720点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,1,85点
初診,保険,特定機能病院等紹介患者受入加算（初診）,60点,3,180点
初診,保険,発熱患者等対応加算（初診）,20点,456,9，120点
初診,保険,連携強化加算（初診）,3点,1144,3，432点
初診,自費,連携強化加算（初診）,3点,1,3点
初診,保険,電子的診療情報連携体制整備加算２（初診）,9点,1144,10，296点
初診,自費,電子的診療情報連携体制整備加算２（初診）,9点,1,9点
再診,保険,サーベイランス強化加算（再診）,1点,1017,1，017点
再診,自費,サーベイランス強化加算（再診）,1点,2,2点
再診,保険,再診料,76点,1460,110，960点
再診,自費,再診料,76点,2,152点
再診,保険,同日再診料,76点,2,152点
再診,保険,外来感染対策向上加算（再診）,6点,1017,6，102点
再診,自費,外来感染対策向上加算（再診）,6点,2,12点
再診,保険,外来管理加算,52点,809,42，068点
再診,保険,夜間・早朝等加算（再診）,50点,76,3，800点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1017,5，085点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,2,10点
再診,保険,時間外対応体制加算３,4点,1462,5，848点
再診,自費,時間外対応体制加算３,4点,2,8点
再診,保険,発熱患者等対応加算（再診）,20点,91,1，820点
再診,自費,発熱患者等対応加算（再診）,20点,1,20点
再診,保険,連携強化加算（再診）,3点,1017,3，051点
再診,自費,連携強化加算（再診）,3点,2,6点
再診,保険,電子的診療情報連携体制整備加算（再診）,2点,1017,2，034点
再診,自費,電子的診療情報連携体制整備加算（再診）,2点,2,4点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,9,2，520点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,187,4，675点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,379,379点
医学管理,保険,ニコチン依存症管理料２,800点,3,2，400点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,8,520点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,17,1，445点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,379,2，274点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,105,8，400点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,411点,264,108，504点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,275,166，100点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,379,1，895点
医学管理,保険,特定疾患療養管理料（診療所）,225点,4,900点
