診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,891,256，608点
初診,自費,初診料,288点,1,288点
初診,保険,外来感染対策向上加算（初診）,6点,888,5，328点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,96,4，800点
初診,保険,時間外加算（初診）,85点,1,85点
再診,保険,乳幼児加算（再診）,38点,13,494点
再診,保険,二類感染症患者入院診療加算（電話等再診料・診療報酬上臨時的取扱）,250点,136,34，000点
再診,保険,再診料,73点,919,67，087点
再診,自賠責,再診料,73点,1,73点
再診,自費,再診料,73点,1,73点
再診,保険,外来感染対策向上加算（再診）,6点,610,3，660点
再診,自賠責,外来感染対策向上加算（再診）,6点,1,6点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,459,23，868点
再診,自賠責,外来管理加算,52点,1,52点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,107,5，350点
再診,保険,明細書発行体制等加算,1点,1054,1，054点
再診,自賠責,明細書発行体制等加算,1点,1,1点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,時間外加算（再診）（入院外）,65点,2,130点
再診,保険,電話等再診料,73点,135,9，855点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,102,2，550点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,45,2，925点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,16,1，360点
医学管理,保険,乳幼児時間外加算（再診）（小児科外来診療料）,65点,1,65点
医学管理,保険,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,414,103，500点
医学管理,自費,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,1,250点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,305,1，830点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,70,5，600点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,325,131，950点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,144,86，256点
医学管理,保険,特定疾患療養管理料（診療所）,225点,4,900点
医学管理,保険,診療情報提供料（１）,250点,25,6，250点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,465,139，500点
医学管理,自費,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,1,300点
医学管理,保険,難病外来指導管理料,270点,2,540点
医学管理,保険,電話等による診療（新型コロナウイルス感染症・臨時的取扱）,147点,8,1，176点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,3,1，260点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,22,5，500点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,23,2，300点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,23,23，000点
投薬,保険,一般名処方加算１（処方箋料）,7点,811,5，677点
投薬,自費,一般名処方加算１（処方箋料）,7点,1,7点
投薬,保険,一般名処方加算２（処方箋料）,5点,342,1，710点
投薬,保険,処方箋料（リフィル以外・その他）,68点,1549,105，332点
投薬,自賠責,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,自費,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,保険,処方箋料（リフィル以外・７種類以上内服薬）,40点,2,80点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,5,90点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,2,132点
注射,保険,点滴注射（その他）（入院外）,50点,2,100点
注射,保険,皮内、皮下及び筋肉内注射,22点,2,44点
処置,保険,副鼻腔洗浄（その他）（片）,25点,68,1，700点
処置,保険,副鼻腔自然口開大処置,25点,795,19，875点
処置,保険,口腔、咽頭処置,16点,2,32点
処置,保険,耳処置,27点,198,5，346点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,21,3，780点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,11,1，100点
処置,保険,超音波ネブライザ,24点,523,12，552点
処置,保険,鼓室処置（片）,55点,14,770点
処置,保険,鼻処置,16点,822,13，152点
手術,保険,下甲介粘膜レーザー焼灼術（両側）,2，910点,4,11，640点
手術,保険,外耳道異物除去術（単純）,260点,5,1，300点
手術,保険,鼻腔粘膜焼灼術,1，080点,10,10，800点
検査,保険,γ－ＧＴ,11点,4,44点
検査,自費,γ－ＧＴ,11点,1,11点
検査,保険,インフルエンザウイルス抗原定性,136点,11,1，496点
検査,保険,カリウム,11点,4,44点
検査,自費,カリウム,11点,1,11点
検査,保険,クレアチニン,11点,4,44点
検査,自費,クレアチニン,11点,1,11点
検査,保険,グルコース,11点,3,33点
検査,自費,グロブリンクラス別クラミジア・トラコマチス抗体,200点,1,200点
検査,保険,チンパノメトリー,340点,7,2，380点
検査,保険,ナトリウム及びクロール,11点,4,44点
検査,自費,ナトリウム及びクロール,11点,1,11点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,1,200点
検査,保険,ヘルペスウイルス抗体価（定性・半定量・定量）,79点,3,237点
検査,保険,免疫学的検査判断料,144点,220,31，680点
検査,自費,免疫学的検査判断料,144点,2,288点
検査,保険,平衡機能検査（標準検査）,20点,43,860点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,23,6，900点
検査,保険,平衡機能検査（重心動揺計）,250点,1,250点
検査,保険,微生物学的検査判断料,150点,9,1，350点
検査,保険,抗ＳＳ－Ａ／Ｒｏ抗体定量,161点,1,161点
検査,保険,抗ＳＳ－Ｂ／Ｌａ抗体定量,158点,1,158点
検査,保険,時間外加算（内視鏡検査）,40％,1,240点
検査,保険,末梢血液一般検査,21点,4,84点
検査,自費,末梢血液一般検査,21点,1,21点
検査,保険,末梢血液像（自動機械法）,15点,1,15点
検査,自費,末梢血液像（自動機械法）,15点,1,15点
検査,自費,梅毒トレポネーマ抗体定性,32点,1,32点
検査,保険,検査逓減,-10％,18,-1，104点
検査,保険,標準純音聴力検査,350点,121,42，350点
検査,保険,水痘・帯状疱疹ウイルス抗体価（定性・半定量・定量）,79点,3,237点
検査,保険,淋菌及びクラミジア・トラコマチス同時核酸検出,270点,1,270点
検査,保険,特異的ＩｇＥ半定量・定量,110点,494,20，020点
検査,保険,生化学的検査（１）判断料,144点,4,576点
検査,自費,生化学的検査（１）判断料,144点,1,144点
検査,自費,生化学的検査（２）判断料,144点,1,144点
検査,保険,簡易聴力検査（気導純音聴力）,110点,77,8，470点
検査,保険,細菌培養同定検査（その他）,170点,6,1，020点
検査,保険,細菌薬剤感受性検査（１菌種）,180点,4,720点
検査,保険,細菌薬剤感受性検査（２菌種）,230点,3,690点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,8,5，760点
検査,保険,脳波検査判断料２,180点,8,1，440点
検査,保険,血液学的検査判断料,125点,4,500点
検査,自費,血液学的検査判断料,125点,1,125点
検査,保険,超音波検査（断層撮影法）（その他）,350点,13,4，550点
検査,保険,静脈性嗅覚検査,45点,5,225点
検査,保険,非特異的ＩｇＥ定量,100点,13,1，300点
検査,保険,鼻腔・咽頭拭い液採取,25点,188,4，700点
検査,自費,鼻腔・咽頭拭い液採取,25点,1,25点
検査,保険,Ａ群β溶連菌迅速試験定性,124点,1,124点
