診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,928,267，264点
初診,自費,初診料,288点,1,288点
初診,保険,外来感染対策向上加算（初診）,6点,926,5，556点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,111,5，550点
初診,保険,時間外加算（初診）,85点,3,255点
初診,保険,連携強化加算（初診）,3点,572,1，716点
再診,保険,乳幼児加算（再診）,38点,11,418点
再診,保険,二類感染症患者入院診療加算（電話等再診料・診療報酬上臨時的取扱）,250点,40,10，000点
再診,保険,再診料,73点,917,66，941点
再診,保険,同日再診料,73点,2,146点
再診,保険,外来感染対策向上加算（再診）,6点,604,3，624点
再診,保険,外来管理加算,52点,411,21，372点
再診,保険,夜間・早朝等加算（再診）,50点,101,5，050点
再診,保険,明細書発行体制等加算,1点,959,959点
再診,保険,時間外加算（再診）（入院外）,65点,4,260点
再診,保険,連携強化加算（再診）,3点,412,1，236点
再診,保険,電話等再診料,73点,40,2，920点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,7,1，960点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,56,1，400点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,33,2，145点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,15,1，275点
医学管理,保険,二類感染症患者入院診療加算（外来診療・診療報酬上臨時的取扱）,250点,317,79，250点
医学管理,保険,傷病手当金意見書交付料,100点,2,200点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,384,2，304点
医学管理,自費,外来感染対策向上加算（医学管理等）,6点,1,6点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,125,10，000点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,324,131，544点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,227,135，973点
医学管理,自費,小児科外来診療料（処方箋を交付）初診時,599点,1,599点
医学管理,保険,特定疾患療養管理料（診療所）,225点,9,2，025点
医学管理,保険,診療情報提供料（１）,250点,27,6，750点
医学管理,保険,連携強化加算（医学管理等）,3点,264,792点
医学管理,自費,連携強化加算（医学管理等）,3点,1,3点
医学管理,保険,院内トリアージ実施料（診療報酬上臨時的取扱）,300点,321,96，300点
医学管理,保険,難病外来指導管理料,270点,2,540点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,12,5，040点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,8,2，000点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,8,800点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,8,8，000点
投薬,保険,一般名処方加算１（処方箋料）,7点,491,3，437点
投薬,保険,一般名処方加算２（処方箋料）,5点,358,1，790点
投薬,保険,処方箋料（リフィル以外・その他）,68点,1335,90，780点
投薬,自費,処方箋料（リフィル以外・その他）,68点,1,68点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,9,162点
投薬,保険,特定疾患処方管理加算２（処方箋料）,66点,10,660点
注射,保険,点滴注射（その他）（入院外）,50点,6,300点
注射,保険,皮内、皮下及び筋肉内注射,22点,4,88点
処置,保険,副鼻腔洗浄（その他）（片）,25点,26,650点
処置,保険,副鼻腔自然口開大処置,25点,656,16，400点
処置,保険,口腔、咽頭処置,16点,5,80点
処置,保険,耳処置,27点,263,7，101点
処置,自費,耳処置,27点,1,27点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,137,24，660点
