診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,初診料,288点,1104,317，952点
初診,自費,初診料,288点,3,864点
初診,保険,医療情報・システム基盤整備体制充実加算１（初診）,6点,1075,6，450点
初診,自費,医療情報・システム基盤整備体制充実加算１（初診）,6点,3,18点
初診,保険,医療情報・システム基盤整備体制充実加算２（初診）,2点,27,54点
初診,保険,外来感染対策向上加算（初診）,6点,1103,6，618点
初診,自費,外来感染対策向上加算（初診）,6点,3,18点
初診,保険,夜間・早朝等加算（初診）,50点,166,8，300点
初診,自費,夜間・早朝等加算（初診）,50点,1,50点
初診,保険,時間外加算（初診）,85点,1,85点
再診,保険,再診料,73点,1301,94，973点
再診,自費,再診料,73点,1,73点
再診,保険,医療情報・システム基盤整備体制充実加算３（再診）（経過措置）,2点,827,1，654点
再診,自費,医療情報・システム基盤整備体制充実加算３（再診）（経過措置）,2点,1,2点
再診,保険,同日再診料,73点,3,219点
再診,保険,外来感染対策向上加算（再診）,6点,847,5，082点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,553,28，756点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,154,7，700点
再診,保険,明細書発行体制等加算,1点,1304,1，304点
再診,自費,明細書発行体制等加算,1点,1,1点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,4,1，120点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,129,3，225点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,46,2，990点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,32,2，720点
医学管理,保険,医療情報・システム基盤整備体制充実加算１（医学管理等）,6点,285,1，710点
医学管理,保険,医療情報・システム基盤整備体制充実加算３（医学管理等・経過措置）,2点,292,584点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,579,3，474点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,141,11，280点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,406点,594,241，164点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,599点,291,174，309点
医学管理,保険,特定疾患療養管理料（１００床未満の病院）（特例）（１０月以降）,147点,774,113，778点
医学管理,保険,診療情報提供料（１）,250点,33,8，250点
医学管理,自費,診療情報提供料（１）,250点,1,250点
医学管理,保険,難病外来指導管理料,270点,4,1，080点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,4,1，680点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,33,8，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,35,3，500点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,1，000点,35,35，000点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,2,1，300点
投薬,保険,一般名処方加算１（処方箋料）（経過措置）,9点,1071,9，639点
投薬,自費,一般名処方加算１（処方箋料）（経過措置）,9点,2,18点
投薬,保険,一般名処方加算２（処方箋料）（経過措置）,7点,436,3，052点
投薬,自費,一般名処方加算２（処方箋料）（経過措置）,7点,1,7点
投薬,保険,処方箋料（リフィル以外・その他）,68点,2057,139，876点
投薬,自費,処方箋料（リフィル以外・その他）,68点,4,272点
投薬,保険,特定疾患処方管理加算１（処方箋料）,18点,1,18点
注射,保険,点滴注射（その他）（入院外）,50点,3,150点
注射,保険,皮内、皮下及び筋肉内注射,22点,4,88点
処置,保険,副鼻腔洗浄（その他）（片）,25点,66,1，650点
処置,保険,副鼻腔自然口開大処置,25点,1345,33，625点
処置,自費,副鼻腔自然口開大処置,25点,2,50点
処置,保険,口腔、咽頭処置,16点,3,48点
処置,保険,扁桃処置,40点,3,120点
処置,保険,耳処置,27点,231,6，237点
処置,保険,耳垢栓塞除去（複雑）（両）,180点,38,6，840点
処置,保険,耳垢栓塞除去（複雑）（片）,100点,17,1，700点
処置,保険,耳管処置１（片）,36点,7,252点
処置,保険,血腫穿刺,80点,1,80点
処置,保険,超音波ネブライザ,24点,1116,26，784点
処置,自費,超音波ネブライザ,24点,2,48点
処置,保険,鼓室処置（片）,55点,14,770点
処置,保険,鼻処置,16点,1328,21，248点
処置,自費,鼻処置,16点,2,32点
処置,保険,鼻出血止血法,240点,3,720点
手術,保険,イオントフォレーゼ加算,45点,4,180点
手術,保険,外耳道異物除去術（単純）,260点,3,780点
手術,保険,鼓膜切開術,830点,4,3，320点
手術,保険,鼻腔粘膜焼灼術,1，080点,7,7，560点
検査,保険,アデノウイルス抗原定性（糞便を除く。）,184点,2,368点
検査,保険,チンパノメトリー,340点,23,7，820点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,7,1，400点
検査,保険,免疫学的検査判断料,144点,223,32，112点
検査,保険,平衡機能検査（標準検査）,20点,74,1，480点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,36,10，800点
検査,保険,平衡機能検査（重心動揺計）,250点,7,1，750点
検査,保険,微生物学的検査判断料,150点,13,1，950点
検査,保険,時間外加算（内視鏡検査）,40％,1,240点
検査,保険,検査逓減,-10％,34,-2，040点
検査,保険,標準純音聴力検査,350点,129,45，150点
検査,保険,特異的ＩｇＥ半定量・定量,110点,402,15，620点
検査,保険,簡易聴力検査（気導純音聴力）,110点,69,7，590点
検査,保険,細菌培養同定検査（その他）,170点,12,2，040点
検査,保険,細菌培養同定検査（口腔）,170点,1,170点
検査,保険,細菌薬剤感受性検査（１菌種）,180点,7,1，260点
検査,保険,細菌薬剤感受性検査（２菌種）,230点,2,460点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,4,2，880点
検査,保険,脳波検査判断料２,180点,4,720点
検査,保険,超音波検査（断層撮影法）（その他）,350点,12,4，200点
検査,保険,静脈性嗅覚検査,45点,7,315点
検査,保険,非特異的ＩｇＥ定量,100点,13,1，300点
検査,保険,鼻腔・咽頭拭い液採取,25点,170,4，250点
検査,保険,Ａ群β溶連菌迅速試験定性,124点,16,1，984点
検査,保険,Ｂ－Ｖ,37点,13,481点
検査,保険,ＥＦ－喉頭,600点,58,34，800点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,226,135，600点
検査,保険,Ｓ－Ｍ,64点,13,832点
検査,保険,ＳＡＲＳ－ＣｏＶ－２・インフルエンザウイルス抗原同時検出（定性）,420点,203,85，260点
画像,保険,コンピューター断層診断,450点,24,10，800点
画像,自費,コンピューター断層診断,450点,1,450点
画像,保険,電子画像管理加算（コンピューター断層診断料）,120点,24,2，880点
画像,自費,電子画像管理加算（コンピューター断層診断料）,120点,1,120点
画像,保険,ＣＴ撮影（イ、ロ又はハ以外）,560点,24,13，440点
画像,自費,ＣＴ撮影（イ、ロ又はハ以外）,560点,1,560点
保険外費用,自費,アプノモニター貸出代,5，500円,2,11，000円
保険外費用,自費,インフル￥0,0円,18,0円
保険外費用,自費,インフル￥1000,1，000円,20,20，000円
保険外費用,自費,インフル￥1100,1，100円,2,2，200円
保険外費用,自費,インフル￥1200,1，200円,13,15，600円
保険外費用,自費,インフル￥1500,1，500円,4,6，000円
保険外費用,自費,インフル￥1600,1，600円,2,3，200円
保険外費用,自費,インフル￥2000,2，000円,3,6，000円
保険外費用,自費,インフル￥2500,2，500円,16,40，000円
保険外費用,自費,インフル￥2600,2，600円,1,2，600円
保険外費用,自費,インフル￥3000,3，000円,308,924，000円
保険外費用,自費,インフル￥3100,3，100円,7,21，700円
保険外費用,自費,インフル￥3500,3，500円,161,563，500円
保険外費用,自費,インフル￥3600,3，600円,16,57，600円
保険外費用,自費,インフル￥500,500円,2,1，000円
保険外費用,自費,インフル￥600,600円,2,1，200円
保険外費用,自費,会計0円,0円,3,0円
保険外費用,自費,帯状疱疹ワクチン,22，000円,3,66，000円
保険外費用,自費,帯状疱疹ワクチン,12，000円,1,12，000円
保険外費用,自費,帯状疱疹ワクチン,10，000円,1,10，000円
保険外費用,保険,診察券代100円,100円,10,1，000円
保険外費用,保険,診断書（普通）1000円,1，000円,5,5，000円
保険外費用,自費,診断書（普通）1000円,1，000円,1,1，000円
合計,合　計,点数合計,,,1，790，101点
,,金額合計,,,1，770，600円
